Metric,Value
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.414349
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,34.038692
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,161
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count__corner:max_tt_025C_3v30,195
design__max_fanout_violation__count__corner:max_tt_025C_3v30,171
design__max_cap_violation__count__corner:max_tt_025C_3v30,257
clock__skew__worst_hold__corner:max_tt_025C_3v30,-0.43305046885274767
clock__skew__worst_setup__corner:max_tt_025C_3v30,0.43398749711203227
timing__hold__ws__corner:max_tt_025C_3v30,0.9751097982846831
timing__setup__ws__corner:max_tt_025C_3v30,11.862113405066326
timing__hold__tns__corner:max_tt_025C_3v30,0.0
timing__setup__tns__corner:max_tt_025C_3v30,0.0
timing__hold__wns__corner:max_tt_025C_3v30,0
timing__setup__wns__corner:max_tt_025C_3v30,0.0
timing__hold_vio__count__corner:max_tt_025C_3v30,0
timing__hold_r2r__ws__corner:max_tt_025C_3v30,0.975110
timing__hold_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__setup_vio__count__corner:max_tt_025C_3v30,0
timing__setup_r2r__ws__corner:max_tt_025C_3v30,11.862113
timing__setup_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__unannotated_net__count__corner:max_tt_025C_3v30,161
timing__unannotated_net_filtered__count__corner:max_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,1866
design__max_fanout_violation__count__corner:max_ss_125C_3v00,171
design__max_cap_violation__count__corner:max_ss_125C_3v00,261
clock__skew__worst_hold__corner:max_ss_125C_3v00,-0.575303820865954
clock__skew__worst_setup__corner:max_ss_125C_3v00,0.5770668550789207
timing__hold__ws__corner:max_ss_125C_3v00,2.236346282567977
timing__setup__ws__corner:max_ss_125C_3v00,-36.999702127154066
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,-6489.2225980573985
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,-36.999702127154066
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,2.236346
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,649
timing__setup_r2r__ws__corner:max_ss_125C_3v00,-36.999702
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,649
timing__unannotated_net__count__corner:max_ss_125C_3v00,161
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
design__max_slew_violation__count__corner:max_ff_n40C_3v60,9
design__max_fanout_violation__count__corner:max_ff_n40C_3v60,171
