Metric,Value
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,9.450088
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,104
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count__corner:max_tt_025C_3v30,792
design__max_fanout_violation__count__corner:max_tt_025C_3v30,112
design__max_cap_violation__count__corner:max_tt_025C_3v30,8
clock__skew__worst_hold__corner:max_tt_025C_3v30,-0.4569053875683217
clock__skew__worst_setup__corner:max_tt_025C_3v30,0.42346968796847945
timing__hold__ws__corner:max_tt_025C_3v30,0.5820752933292581
timing__setup__ws__corner:max_tt_025C_3v30,0.04361311435441806
timing__hold__tns__corner:max_tt_025C_3v30,0.0
timing__setup__tns__corner:max_tt_025C_3v30,0.0
timing__hold__wns__corner:max_tt_025C_3v30,0
timing__setup__wns__corner:max_tt_025C_3v30,0.0
timing__hold_vio__count__corner:max_tt_025C_3v30,0
timing__hold_r2r__ws__corner:max_tt_025C_3v30,0.582075
timing__hold_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__setup_vio__count__corner:max_tt_025C_3v30,0
timing__setup_r2r__ws__corner:max_tt_025C_3v30,0.043613
timing__setup_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__unannotated_net__count__corner:max_tt_025C_3v30,104
timing__unannotated_net_filtered__count__corner:max_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,8388
design__max_fanout_violation__count__corner:max_ss_125C_3v00,112
design__max_cap_violation__count__corner:max_ss_125C_3v00,8
clock__skew__worst_hold__corner:max_ss_125C_3v00,-0.6485003828604209
clock__skew__worst_setup__corner:max_ss_125C_3v00,0.5771974173103093
timing__hold__ws__corner:max_ss_125C_3v00,1.4626500424826852
timing__setup__ws__corner:max_ss_125C_3v00,-39.23473923469438
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,-20164.316653823236
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,-39.23473923469438
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,1.462650
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,1046
timing__setup_r2r__ws__corner:max_ss_125C_3v00,-39.234737
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,1034
timing__unannotated_net__count__corner:max_ss_125C_3v00,104
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
design__max_slew_violation__count__corner:max_ff_n40C_3v60,33
