Metric,Value
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
design__max_slew_violation__count__corner:max_ff_n40C_3v60,0
design__max_fanout_violation__count__corner:max_ff_n40C_3v60,6
design__max_cap_violation__count__corner:max_ff_n40C_3v60,23
clock__skew__worst_hold__corner:max_ff_n40C_3v60,-0.2691987542409133
clock__skew__worst_setup__corner:max_ff_n40C_3v60,0.2679694042509775
timing__hold__ws__corner:max_ff_n40C_3v60,0.4276285002696177
timing__setup__ws__corner:max_ff_n40C_3v60,18.106476830366464
timing__hold__tns__corner:max_ff_n40C_3v60,0.0
timing__setup__tns__corner:max_ff_n40C_3v60,0.0
timing__hold__wns__corner:max_ff_n40C_3v60,0
timing__setup__wns__corner:max_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:max_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:max_ff_n40C_3v60,0.427628
timing__hold_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:max_ff_n40C_3v60,18.106478
timing__setup_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count__corner:max_ff_n40C_3v60,19
timing__unannotated_net_filtered__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count,19
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_3v30,3.29981
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_3v30,3.29994
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_3v30,0.000189016
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_3v30,0.00015006
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_3v30,0.000055695
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_3v30,0.00015006
design_powergrid__voltage__worst,0.00015006
design_powergrid__voltage__worst__net:VPWR,3.29981
design_powergrid__drop__worst,0.000189016
design_powergrid__drop__worst__net:VPWR,0.000189016
design_powergrid__voltage__worst__net:VGND,0.00015006
design_powergrid__drop__worst__net:VGND,0.00015006
ir__voltage__worst,3.29999999999999982236431605997495353221893310546875
ir__drop__avg,0.0000559999999999999991599601567582311645310255698859691619873046875
ir__drop__worst,0.00018900000000000001325849152689073662259033881127834320068359375
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
